smiles,qed,sa,is_novel,has_fragment,passes_medchem,molecule_chembl_id,pchembl_value
C[C@H](c1nc(-c2ccccc2F)no1)[C@H](N)C(=O)N1CCCC1,0.93075080128803,3.0483687292128927,true,true,true,CHEMBL219369,5.32
C[C@H](c1nc(-c2ccc(S(N)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1,0.766052791157862,3.1090204575370386,true,true,true,CHEMBL219602,6.72
CC(C)C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CC[C@H](F)C1,0.6573681120598114,3.815298306979577,true,true,true,CHEMBL219371,7.89
C[C@H](c1nc(-c2ccc(Cl)cc2Cl)co1)[C@H](N)C(=O)N1CCCC1,0.8932610271482645,3.286838123383718,true,true,true,CHEMBL218254,5.74
C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CCC(F)(F)C1,0.6696862118682687,3.621698334144904,true,true,true,CHEMBL375146,7.72
CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)c(Cl)c1,0.6598316076015736,3.827660071685459,true,true,true,CHEMBL376498,7.89
CS(=O)(=O)c1ccc(-c2noc([C@@H](CCO)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)c(Cl)c1,0.6268074515455162,3.8386914316125544,true,true,true,CHEMBL220357,7.16
C[C@H](c1nc(-c2ccc(Cl)cc2)no1)[C@H](N)C(=O)N1CCCC1,0.9277723918179611,2.9725471907513548,true,true,true,CHEMBL220021,5.42
C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,0.7950011905921739,3.241516722011193,true,true,true,CHEMBL216835,7.77
CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)cc1,0.7040505298498629,3.696145420174685,true,true,true,CHEMBL375442,7.28
Cc1cc(S(C)(=O)=O)ccc1-c1noc([C@@H](CC2CC2)[C@H](N)C(=O)N2CC[C@H](F)C2)n1,0.6868012752131193,3.8150388952148697,true,true,true,CHEMBL219434,7.51
C[C@H](c1n[nH]c(-c2ccc(Cl)cc2Cl)n1)[C@H](N)C(=O)N1CCCC1,0.8687822634586979,3.3486353679302168,true,true,true,CHEMBL218306,5.52
C[C@H](c1nc(-c2ccc(OC(F)(F)F)cc2)no1)[C@H](N)C(=O)N1CCCC1,0.8518112409109088,3.1571750837575543,true,true,true,CHEMBL220249,5.75
C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CC[C@@H](F)C1,0.6919058977742272,3.696899690429076,true,true,true,CHEMBL218776,7.72
C[C@H](c1nc(-c2ccccc2C(F)F)no1)[C@H](N)C(=O)N1CCCC1,0.8960757268935197,3.3034437427115604,true,true,true,CHEMBL216774,5.74
C[C@H](c1nc(-c2ccccc2OC(F)(F)F)no1)[C@H](N)C(=O)N1CCCC1,0.8518112409109088,3.2366723145267846,true,true,true,CHEMBL426335,4.91
